location_id,survey_set,latitude,longitude
JW_01,JW,45.4826250699999,-73.59440089
JW_02,JW,45.5833907999999,-73.6240326999999
JW_03,JW,45.5247743,-73.6076782
JW_04,JW,45.5047875350121,-73.6187359346713
JW_05,JW,45.5259519730694,-73.6270552544138
JW_06,JW,45.4943308,-73.6373498
JW_07,JW,45.5353047347854,-73.5819569094022
JW_08,JW,45.5422661,-73.6071390999999
JW_09,JW,45.5049026372239,-73.556659377292
JW_10,JW,45.4969101347857,-73.5791952435275
KR_01,KR,45.5316556,-73.5849640999999
KR_02,KR,45.5310237999999,-73.5859631
KR_03,KR,45.4829264999999,-73.5795875999999
KR_04,KR,45.4834114999999,-73.5795468999999
KR_05,KR,45.477630670495,-73.600135723712
KR_06,KR,45.5240273999999,-73.5728265999999
KR_07,KR,45.5234219999999,-73.5734028
KR_08,KR,45.52399753066,-73.6004502005217
KR_09,KR,45.5232858999999,-73.6011504
KR_10,KR,45.5222389049025,-73.6016880469073
MH_02,MH,45.5170976,-73.5648866
MH_04,MH,45.5259207999999,-73.5702342
MH_08,MH,45.4982227182559,-73.6016626556839
MH_09,MH,45.5031764128729,-73.616290745226
MH_10,MH,45.5036245,-73.6196876
MH_11,MH,45.498648,-73.6273873
MH_13,MH,45.5897415999999,-73.5403908
MH_15,MH,45.5511083,-73.5528322
MH_18,MH,45.4796824999999,-73.5779194
MH_19,MH,45.4793987696153,-73.5810435612432
RS_01,RS,45.5643281552069,-73.617416812197
RS_02,RS,45.5074232455889,-73.558918511111
RS_03,RS,45.5058296,-73.556936
RS_04,RS,45.5001543,-73.5552683999999
RS_05,RS,45.5046422,-73.5694604
RS_06,RS,45.5064746,-73.5791385999999
RS_07,RS,45.5027492999999,-73.5783061999999
RS_08,RS,45.5000053,-73.5833734
RS_09,RS,45.4982242999999,-73.5736294
RS_10,RS,45.4969444444439,-73.572083333333
